title,company,reward,url
java/kotlin 시니어 개발,에스제이소프트,합격보상금 100만원,https://www.wanted.co.kr/wd/212445
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr/wd/205880
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr/wd/94072
[1100억↑투자] Kotlin 백엔드 개발자 (3년 이상),알스퀘어,합격보상금 100만원,https://www.wanted.co.kr/wd/225196
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr/wd/197273
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr/wd/171459
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/213950
java/kotlin 시니어 개발,에스제이소프트,합격보상금 100만원,https://www.wanted.co.kr/wd/212445
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr/wd/205880
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr/wd/94072
[1100억↑투자] Kotlin 백엔드 개발자 (3년 이상),알스퀘어,합격보상금 100만원,https://www.wanted.co.kr/wd/225196
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr/wd/197273
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr/wd/171459
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/213950
글로벌 해외송금 백엔드 개발자 (Java/Kotlin),센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/199109
[인텔리전스랩스] 추천팀 백엔드 개발자 (Java/Kotlin),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr/wd/209654
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/196645
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),합격보상금 100만원,https://www.wanted.co.kr/wd/100640
